IPN,MPN,Manufacturer,Description,Symbol,Footprint,Frequency,Stability,Load,Datasheet,LCSC,DigiKey_PN,Mouser_PN,DigiKey_Price,Mouser_Price,Price_Range,Price_LastSynced_UTC
OSC-0001-0256,8Y-25.000MAAJ-T,TXC CORPORATION,CRYSTAL 25.0000MHZ 18PF SMD,Device:Crystal_GND24,Crystal:Crystal_SMD_SeikoEpson_FA128-4Pin_2.0x1.6mm,25MHz,30ppm,18pF,http://www.txccrystal.com/images/pdf/8y.pdf,,887-1479-2-ND,717-8Y-25.000MAAJ-T,$1.22,$1.22,$1.22,2026-03-13T04:39:48.541649+00:00
OSC-0002-0126,ABM3C-12.000MHZ-D4Y-T,Abracon LLC,CRYSTAL 12.0000MHZ 18PF SMD,Device:Crystal_GND24,Crystal:Crystal_SMD_Abracon_ABM3C-4Pin_5.0x3.2mm,12MHz,50ppm,18pF,https://abracon.com/Resonators/ABM3C.pdf,,535-11281-2-ND,815-ABM3C-12-D4YT,$0.71,$0.71,$0.71,2026-03-13T04:39:49.324021+00:00
OSC-0003-0506,H130B-50.000-16-F-1010-TR,Raltron Electronics,CRYSTAL 50.0000MHZ 16PF SMD,Device:Crystal_GND24,Crystal:Crystal_SMD_Abracon_ABM3C-4Pin_5.0x3.2mm,50MHz,10ppm,16pF,https://www.raltron.com/webproducts/specs/CRYSTAL/H130B-50.000-16-F-1010-TR.pdf,,2151-H130B-50.000-16-F-1010-TR-ND,,$0.58,,$0.58,2026-03-13T04:39:50.109286+00:00
OSC-0004-0323,D2SX003270004E,"Hosonic Electronic Co., Ltd","32.768 kHz XO (Standard) CMOS, TTL Oscillator 1.8V Enable/Disable 4-SMD, No Lead",g-osc:D3SX0032,g-osc:Hosonic_D3SX_series,32768Hz,10ppm,15pF,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2454/DxSX%20Series.pdf,,3186-D2SX003270004ETR-ND,,$1.54,,$1.54,2026-03-13T04:39:50.898491+00:00
OSC-0005-0323,ABS07L-32.768KHZ-T,Abracon LLC,"32.768 kHz ±20ppm Crystal 12.5pF 55 kOhms 2-SMD, No Lead",Device:Crystal,g-osc:Abracon_ABS07L,32768Hz,20ppm,12pF,https://abracon.com/Resonators/ABS07L.pdf,,535-12058-2-ND,815-ABS07L-32.7-T,$2.24,$2.24,$2.24,2026-03-13T04:39:51.672935+00:00
OSC-0006-0256,ABM8W-25.0000MHZ-6-B1U-T3,Abracon LLC,"25 MHz ±10ppm Crystal 6pF 50 Ohms 4-SMD, No Lead",Device:Crystal_GND24,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,25MHz,10ppm,6pF,https://abracon.com/datasheets/ABM8W.pdf,,535-ABM8W-25.0000MHZ-6-B1U-T3TR-ND,815-8W25-6B1UT,$0.5,$0.49,$0.49 - $0.5,2026-03-13T04:39:52.447499+00:00
OSC-0007-0256,FW2500042Z,Diodes Incorporated,"25 MHz ±30ppm Crystal 20pF 50 Ohms 4-SMD, No Lead",Device:Crystal_GND24,Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm,25MHz,30ppm,20pF,https://www.diodes.com/assets/Datasheets/FW.pdf,,FW2500042Z-ND,FW2500042Z,$0.4048,,$0.4048,2026-03-13T04:43:46.034731+00:00
OSC-0008-0256,FW2500071,Diodes Incorporated,"25 MHz ±30ppm Crystal 16pF 60 Ohms 4-SMD, No Lead",Device:Crystal_GND24,Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm,25MHz,30ppm,16pF,https://www.diodes.com/assets/Datasheets/FW.pdf,,31-FW2500071TR-ND,621-FW2500071,$0.66,$0.404,$0.404 - $0.66,2026-03-13T04:39:54.038024+00:00
OSC-0009-0246,ECS-240-20-33-TR,ECS Inc.,"24 MHz ±50ppm Crystal 20pF 40 Ohms 4-SMD, No Lead",Device:Crystal_GND24,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,24MHz,50ppm,20pF,https://ecsxtal.com/store/pdf/ecx-32.pdf,,XC1141TR-ND,520-ECS-240-20-33,$0.53,$0.53,$0.53,2026-03-13T04:39:54.838584+00:00
OSC-0010-0166,ABM8G-16.000MHZ-18-D2Y-T,Abracon LLC,"16 MHz ±20ppm Crystal 18pF 80 Ohms 4-SMD, No Lead",Device:Crystal_GND24,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,16MHz,20ppm,18pF,https://4donline.ihs.com/images/VipMasterIC/IC/ABRC/ABRCS02595/ABRCS02595-1.pdf?hkey=82A29B72BDB3BD67C626B77C2F032848,,535-10267-2-ND,815-ABM8G-16-18D2Y,$0.43,$0.43,$0.43,2026-03-13T04:39:55.649522+00:00
